"","Basin","Year","Transect","Interval","NperHa","STRATUM","name","area_km2","geometry"
"356","WB",2011,1,31,1128.10484,"1","Detroit R.",929,c(-83.07189567, 41.91843404)
"357","WB",2011,1,32,1318.279518,"1","Detroit R.",929,c(-83.06577329, 41.92607427)
"358","WB",2011,1,33,1411.445098,"1","Detroit R.",929,c(-83.05946466, 41.93359399)
"359","WB",2011,1,34,1446.090662,"1","Detroit R.",929,c(-83.05335137, 41.9412142)
"360","WB",2011,1,35,1322.2116,"1","Detroit R.",929,c(-83.04787419, 41.94918906)
"361","WB",2011,1,36,1196.838228,"1","Detroit R.",929,c(-83.04130483, 41.95664)
"362","WB",2011,1,37,703.0592551,"1","Detroit R.",929,c(-83.03518027, 41.96433972)
"363","WB",2011,1,38,929.1715392,"1","Detroit R.",929,c(-83.02875317, 41.97196667)
"364","WB",2011,1,39,3169.085195,"1","Detroit R.",929,c(-83.02253399, 41.97942581)
"394","WB",2011,2,30,4963.586059,"1","Detroit R.",929,c(-82.90172333, 41.82617333)
"395","WB",2011,2,31,5363.841288,"1","Detroit R.",929,c(-82.90246767, 41.83517133)
"396","WB",2011,2,32,4535.223537,"1","Detroit R.",929,c(-82.90278767, 41.84406367)
"397","WB",2011,2,33,4690.299153,"1","Detroit R.",929,c(-82.90334667, 41.85313433)
"398","WB",2011,2,34,6359.919156,"1","Detroit R.",929,c(-82.90360583, 41.86213333)
"399","WB",2011,2,35,3610.05121,"1","Detroit R.",929,c(-82.90425861, 41.87106208)
"400","WB",2011,2,36,1990.520831,"1","Detroit R.",929,c(-82.90464826, 41.88003442)
"401","WB",2011,2,37,1529.178497,"1","Detroit R.",929,c(-82.90489725, 41.88902358)
"402","WB",2011,2,38,1180.257543,"1","Detroit R.",929,c(-82.90520267, 41.89797)
"403","WB",2011,2,39,1275.488554,"1","Detroit R.",929,c(-82.90557283, 41.90701725)
"404","WB",2011,2,40,956.8551424,"1","Detroit R.",929,c(-82.90579741, 41.91567815)
"405","WB",2011,2,41,861.7503115,"1","Detroit R.",929,c(-82.90595, 41.92467333)
"406","WB",2011,2,42,818.9931458,"1","Detroit R.",929,c(-82.90641167, 41.93369167)
"407","WB",2011,2,43,404.45006,"1","Detroit R.",929,c(-82.90700492, 41.94270333)
"408","WB",2011,2,44,472.5199847,"1","Detroit R.",929,c(-82.90728333, 41.95163833)
"409","WB",2011,2,45,332.9369299,"1","Detroit R.",929,c(-82.90780322, 41.96078051)
"464","WB",2013,2,29,28049.4433,"1","Detroit R.",929,c(-82.90169458, 41.82607708)
"465","WB",2013,2,30,40658.32218,"1","Detroit R.",929,c(-82.901826, 41.83497767)
"466","WB",2013,2,31,39647.38465,"1","Detroit R.",929,c(-82.90235458, 41.84398708)
"467","WB",2013,2,32,17024.18203,"1","Detroit R.",929,c(-82.90299708, 41.85296583)
"468","WB",2013,2,33,9226.362125,"1","Detroit R.",929,c(-82.90293833, 41.86195)
"469","WB",2013,2,34,8682.646859,"1","Detroit R.",929,c(-82.90363933, 41.87090533)
"470","WB",2013,2,35,12572.42774,"1","Detroit R.",929,c(-82.90365183, 41.87975933)
"471","WB",2013,2,36,10058.71829,"1","Detroit R.",929,c(-82.903823, 41.88878533)
"472","WB",2013,2,37,7060.311686,"1","Detroit R.",929,c(-82.90456426, 41.89630756)
"473","WB",2013,2,38,4551.881651,"1","Detroit R.",929,c(-82.90509938, 41.90571125)
"474","WB",2013,2,39,3709.218589,"1","Detroit R.",929,c(-82.90477438, 41.9146975)
"475","WB",2013,2,40,4021.851366,"1","Detroit R.",929,c(-82.9053335, 41.92364417)
"476","WB",2013,2,41,8662.902855,"1","Detroit R.",929,c(-82.90113626, 41.92933452)
"477","WB",2013,2,42,2526.898668,"1","Detroit R.",929,c(-82.88844333, 41.93170333)
"478","WB",2013,2,43,1891.264583,"1","Detroit R.",929,c(-82.8951919, 41.93473666)
"479","WB",2013,2,44,2264.463643,"1","Detroit R.",929,c(-82.90595377, 41.93985232)
"480","WB",2013,2,45,3050.744978,"1","Detroit R.",929,c(-82.90668167, 41.9457625)
"481","WB",2013,2,46,4184.66927,"1","Detroit R.",929,c(-82.90663806, 41.95356519)
"482","WB",2013,2,47,2924.907602,"1","Detroit R.",929,c(-82.90609431, 41.96244324)
"549","WB",2014,1,11,1945.491066,"1","Detroit R.",929,c(-83.18066881, 41.78661405)
"550","WB",2014,1,12,7570.752487,"1","Detroit R.",929,c(-83.17507167, 41.79457167)
"551","WB",2014,1,13,3097.552932,"1","Detroit R.",929,c(-83.16883333, 41.80223)
"552","WB",2014,1,14,2505.157132,"1","Detroit R.",929,c(-83.16264265, 41.80999706)
"553","WB",2014,1,15,2152.929639,"1","Detroit R.",929,c(-83.15657383, 41.81769025)
"554","WB",2014,1,16,2971.711695,"1","Detroit R.",929,c(-83.14995782, 41.82507987)
"555","WB",2014,1,17,2512.744064,"1","Detroit R.",929,c(-83.14364, 41.83267667)
"556","WB",2014,1,18,2745.4998,"1","Detroit R.",929,c(-83.13744167, 41.84035033)
"557","WB",2014,1,19,6715.470678,"1","Detroit R.",929,c(-83.13118244, 41.84800679)
"558","WB",2014,1,20,7648.724394,"1","Detroit R.",929,c(-83.12455792, 41.8554925)
"559","WB",2014,1,21,7347.917973,"1","Detroit R.",929,c(-83.11802635, 41.86299282)
"560","WB",2014,1,22,11285.88454,"1","Detroit R.",929,c(-83.11207546, 41.87072898)
"561","WB",2014,1,23,21440.37821,"1","Detroit R.",929,c(-83.10594833, 41.87847873)
"562","WB",2014,1,24,21619.17502,"1","Detroit R.",929,c(-83.09957233, 41.8860325)
"563","WB",2014,1,25,13480.17,"1","Detroit R.",929,c(-83.09321878, 41.893666)
"564","WB",2014,1,26,7649.608534,"1","Detroit R.",929,c(-83.08695, 41.90129833)
"565","WB",2014,1,27,3348.329542,"1","Detroit R.",929,c(-83.08092167, 41.90899)
"566","WB",2014,1,28,3011.01279,"1","Detroit R.",929,c(-83.07420588, 41.91651921)
"567","WB",2014,1,29,2102.71311,"1","Detroit R.",929,c(-83.06781835, 41.92410332)
"568","WB",2014,1,30,2736.446347,"1","Detroit R.",929,c(-83.0615895, 41.93178333)
"569","WB",2014,1,31,2327.128899,"1","Detroit R.",929,c(-83.05535075, 41.93955575)
"570","WB",2014,1,32,2200.196484,"1","Detroit R.",929,c(-83.04949892, 41.94727882)
"571","WB",2014,1,33,3397.167502,"1","Detroit R.",929,c(-83.04302567, 41.9548495)
"572","WB",2014,1,34,4083.337262,"1","Detroit R.",929,c(-83.03688, 41.96249)
"573","WB",2014,1,35,7878.491308,"1","Detroit R.",929,c(-83.03041422, 41.97026326)
"574","WB",2014,1,36,17770.68447,"1","Detroit R.",929,c(-83.02417533, 41.97787267)
"575","WB",2014,1,37,10541.26995,"1","Detroit R.",929,c(-83.01799857, 41.9855794)
"576","WB",2014,1,38,5968.139576,"1","Detroit R.",929,c(-83.01180767, 41.99326967)
"606","WB",2014,2,30,23214.61602,"1","Detroit R.",929,c(-82.90157933, 41.82926517)
"607","WB",2014,2,31,19154.86163,"1","Detroit R.",929,c(-82.90223281, 41.83823094)
"608","WB",2014,2,32,35142.13384,"1","Detroit R.",929,c(-82.9025915, 41.847218)
"609","WB",2014,2,33,13953.72407,"1","Detroit R.",929,c(-82.90291422, 41.85620314)
"610","WB",2014,2,34,10853.72342,"1","Detroit R.",929,c(-82.90304889, 41.86516778)
"611","WB",2014,2,35,14247.26065,"1","Detroit R.",929,c(-82.9035148, 41.87415206)
"612","WB",2014,2,36,28845.60213,"1","Detroit R.",929,c(-82.90369667, 41.88310667)
"613","WB",2014,2,37,20889.45382,"1","Detroit R.",929,c(-82.90389444, 41.89210167)
"614","WB",2014,2,38,7519.717591,"1","Detroit R.",929,c(-82.90465765, 41.90106412)
"615","WB",2014,2,39,9696.125544,"1","Detroit R.",929,c(-82.90502608, 41.90994708)
"616","WB",2014,2,40,23291.5832,"1","Detroit R.",929,c(-82.90527324, 41.91899745)
"617","WB",2014,2,41,9339.296842,"1","Detroit R.",929,c(-82.90585667, 41.92797258)
"618","WB",2014,2,42,16461.84754,"1","Detroit R.",929,c(-82.90607617, 41.93689883)
"619","WB",2014,2,43,6061.551813,"1","Detroit R.",929,c(-82.906382, 41.94588467)
"620","WB",2014,2,44,4302.141193,"1","Detroit R.",929,c(-82.9069225, 41.95485)
"621","WB",2014,2,45,5036.194094,"1","Detroit R.",929,c(-82.907365, 41.96382069)
"694","WB",2015,1,13,61156.88587,"1","Detroit R.",929,c(-83.18201333, 41.78690617)
"695","WB",2015,1,14,56395.99965,"1","Detroit R.",929,c(-83.1757149, 41.7945575)
"696","WB",2015,1,15,41399.57028,"1","Detroit R.",929,c(-83.16963537, 41.80236389)
"697","WB",2015,1,16,43279.16902,"1","Detroit R.",929,c(-83.16310458, 41.80988292)
"698","WB",2015,1,17,35347.85278,"1","Detroit R.",929,c(-83.15685833, 41.81762333)
"699","WB",2015,1,18,30117.06527,"1","Detroit R.",929,c(-83.15043059, 41.82523696)
"700","WB",2015,1,19,28544.9395,"1","Detroit R.",929,c(-83.14409667, 41.83286667)
"701","WB",2015,1,20,21975.17404,"1","Detroit R.",929,c(-83.13785167, 41.840582)
"702","WB",2015,1,21,15252.2165,"1","Detroit R.",929,c(-83.13132346, 41.84815744)
"703","WB",2015,1,22,14237.14189,"1","Detroit R.",929,c(-83.12520657, 41.85588902)
"704","WB",2015,1,23,13032.7724,"1","Detroit R.",929,c(-83.11899333, 41.86363833)
"705","WB",2015,1,24,7646.624511,"1","Detroit R.",929,c(-83.1125382, 41.87120701)
"706","WB",2015,1,25,4486.636025,"1","Detroit R.",929,c(-83.10642667, 41.87896167)
"707","WB",2015,1,26,6835.491483,"1","Detroit R.",929,c(-83.09994992, 41.88655975)
"708","WB",2015,1,27,9243.229432,"1","Detroit R.",929,c(-83.093605, 41.89424667)
