RSYOY,RSYAO,ES,YPYOY,OTHER,LONG,Sdepth,Fdepth,Year,EW,depthcat,Layer
0.3741,0.483,0.0476,0.0884,0.0069,-81.743,23.3,21,2012,0,1,1
0.02,0.24,0,0.12,0.62,-81.743,24.7,20,2018,0,1,1
0.9037,0.0031,0.0124,0.0807,0.0001,-81.742,24.1,16,2013,0,1,1
0.0244,0.9756,0,0,0,-81.742,24.4,17,2015,0,1,1
0.4074,0,0,0.4444,0.1482,-81.741,24,7,2016,0,1,0
0.25,0,0.6833,0.05,0.0167,-81.741,24.4,12,2010,0,1,0
0.25,0.0625,0.3125,0,0.375,-81.74,23.5,14,2012,0,1,1
0.0148,0.9442,0,0.0171,0.0239,-81.739,24.3,20,2017,0,1,1
0.0513,0.0128,0.9231,0,0.0128,-81.738,24.4,7,2010,0,1,0
0.1034,0,0,0.1379,0.7587,-81.738,24.8,12,2018,0,1,0
0.3,0.1,0.5,0,0.1,-81.736,23.6,16,2012,0,1,1
0.9652,0.01,0,0.0149,0.0099,-81.735,25.1,13,2019,0,1,0
0.9647,0.0176,0,0.0118,0.0059,-81.73,24.2,8,2015,0,1,0
0.4341,0.2637,0.022,0.1154,0.1648,-81.73,24.4,17,2017,0,1,1
0.8344,0,0.0061,0.1534,0.0061,-81.729,24.1,13,2013,0,1,0
0.9118,0.0588,0.0294,0,0,-81.615,21.9,7.6,2009,0,1,0
0.735,0,0.265,0,0,-81.547,11.6,7.6,2009,0,0,0
0,0.9987,0,0,0.0013,-81.507,24.1,15,2011,1,1,1
0.2,0,0.5467,0.0267,0.2266,-81.496,12.4,5,2014,0,0,0
0.4888,0.4102,0,0.0898,0.0112,-81.492,22,14.3,2017,1,1,1
0.0774,0,0.3302,0.4887,0.1037,-81.483,20.2,10,2014,0,1,0
0.2672,0.069,0.181,0.3534,0.1294,-81.479,21,14,2014,0,1,0
0.1811,0.801,0,0,0.0179,-81.479,20,17,2016,1,1,1
0.0263,0.089,0.8606,0,0.0241,-81.477,11.8,9,2013,1,0,0
0.4504,0.5456,0.002,0,0.002,-81.475,11.3,10,2015,1,0,0
0.0598,0.0027,0.913,0,0.0245,-81.474,11.2,5,2012,1,0,0
0.0832,0.0268,0.8265,0,0.0635,-81.474,11.9,6,2013,1,0,0
0,0.9553,0.0366,0,0.0081,-81.473,10,5,2011,1,0,0
0.8712,0.011,0.1014,0.0082,0.0082,-81.472,13.6,7,2012,1,0,0
0.0009,0.9972,0,0,0.0019,-81.471,10.7,8,2010,1,0,0
0.7024,0.256,0.0179,0.006,0.0177,-81.471,11.9,7,2015,1,0,0
0.0786,0.9194,0,0.001,0.001,-81.47,11.8,7,2016,1,0,0
0.0606,0,0,0.5152,0.4242,-81.47,12.1,5,2018,1,0,0
0.796,0.1542,0,0.0199,0.0299,-81.47,12.5,8,2017,1,0,0
0.7484,0,0,0.2387,0.0129,-81.468,12.1,6,2019,1,0,0
0,0.7245,0.2704,0,0.0051,-81.466,14.4,8,2011,1,0,0
0.9683,0.0265,0,0.0053,-1.00E-04,-81.465,14.1,4,2016,1,0,0
0,0.9892,0.0108,0,0,-81.464,13.1,8,2009,1,0,0
0.05,0,0,0.15,0.8,-81.462,14.9,8,2018,1,0,0
0.0076,0.7481,0.2366,0.0076,1.00E-04,-81.461,13.7,6,2009,1,0,0
0.9103,0.0128,0,0.0769,0,-81.461,14.4,5,2010,1,0,0
0.32,0,0,0,0.68,-81.461,22,10.7,2017,1,1,0
0.9651,0.0087,0,0.0044,0.0218,-81.459,15.4,5,2017,1,0,0
0.4722,0.1389,0,0.2778,0.1111,-81.458,16,9,2019,1,0,0
0,0.9956,0.0022,0,0.0022,-81.455,22.9,17,2011,1,1,1
0.0856,0.0122,0.8807,0.0061,0.0154,-81.452,19.7,12,2013,1,1,0
0.1538,0,0.6385,0.1231,0.0846,-81.45,24,12,2014,0,1,0
0.2632,0.2105,0.2105,0.0526,0.2632,-81.45,19.7,14,2012,1,1,0
0,0,0.5294,0,0.4706,-81.449,19.6,10,2012,1,1,0
0.8636,0.1288,0,0.0076,0,-81.448,20,13.1,2016,1,1,0
0.0044,0,0.9605,0,0.0351,-81.446,22.3,5,2012,1,1,0
0.0061,0.9926,0,0,0.0013,-81.445,18.9,14,2010,1,0,0
0.0588,0,0.9118,0,0.0294,-81.445,19.7,5,2011,1,1,0
0.5916,0.3664,0,0,0.042,-81.444,19.4,17,2015,1,0,1
0.0938,0.8795,0.0179,0,0.0088,-81.444,19.9,9,2010,1,1,0
0.3889,0.3651,0.2302,0,0.0158,-81.443,18.9,14,2013,1,0,0
0.4675,0,0.5195,0.013,0,-81.442,18.9,6,2012,1,0,0
0,0,0.5,0,0.5,-81.441,18.3,10,2009,1,0,0
0.9941,0,0,0,0.0059,-81.441,19.3,8,2015,1,0,0
0,0.8889,0.0556,0,0.0555,-81.44,19.2,13,2011,1,0,1
0.0004,0.9982,0.0004,0,0.001,-81.439,18.1,14,2009,1,0,1
0.9032,0,0.0968,0,0,-81.439,19,3,2011,1,0,0
0.3486,0.0027,0.3919,0.1595,0.0973,-81.438,23.9,16,2014,0,1,1
0.8774,0.0581,0.0516,0,0.0129,-81.438,20,6,2010,1,1,0
0.4737,0,0,0.0526,0.4737,-81.438,21,7.3,2017,1,1,0
0.8611,0,0,0.0035,0.1354,-81.437,19,5,2017,1,0,0
0.9571,0.0245,0,0,0.0184,-81.437,19.4,12,2015,1,0,0
0.86,0,0,0.14,0,-81.435,20.5,7,2019,1,1,0
0,0.8928,0.0008,0,0.1064,-81.435,22.9,18,2013,1,1,1
0.0503,0,0.6382,0.191,0.1205,-81.434,24.4,8,2014,0,1,0
0.9872,0,0,0.0073,0.0055,-81.434,19.9,8,2016,1,1,0
0,0,0,0.0476,0.9524,-81.434,20.8,6,2018,1,1,0
0.3818,0.6067,0,0.0029,0.0086,-81.433,19.9,16,2016,1,1,1
0.1429,0,0.7857,0,0.0714,-81.433,20.6,11,2011,1,1,0
0.9506,0.0179,0,0.0231,0.0084,-81.431,20.4,13,2017,1,1,0
0,0,1,0,0,-81.43,17.3,5,2009,1,0,0
0.9723,0.0008,0,0.0062,0.0207,-81.43,20.6,10,2017,1,1,0
0.0508,0.4443,0.0056,0,0.4993,-81.429,6.7,13.4,2013,1,0,0
0.9481,0.0507,0,0,0.0012,-81.426,20.5,13,2016,1,1,0
0,0.0152,0,0.0076,0.9772,-81.426,21.6,17,2012,1,1,1
0.9447,0.0243,0,0.0288,0.0022,-81.426,21.7,9,2019,1,1,0
0.8776,0,0,0.0816,0.0408,-81.419,20,8.8,2016,1,1,0
0,0,0,0.5641,0.4359,-81.419,21.1,12,2018,1,1,0
0,1,0,0,0,-81.418,21,8,2011,1,1,0
0.0082,0.9918,0,0,0,-81.416,19.8,13.7,2009,1,1,1
0.0571,0.0286,0,0.5429,0.3714,-81.416,20.6,16,2018,1,1,1
0.8423,0.1203,0,0.0332,0.0042,-81.414,22.2,12,2019,1,1,0
0.4286,0.0357,0.2857,0.0714,0.1786,-81.405,20.4,9,2012,1,1,0
0.5238,0.381,0.0952,0,0,-81.405,21,11,2011,1,1,0
0.88,0,0.1067,0,0.0133,-81.4,6.4,12.5,2013,1,0,0
0.4375,0,0.4196,0.0446,0.0983,-81.387,22,16,2012,1,1,1
0.9989,0,0,0.0011,0,-81.385,22.1,10,2016,1,1,0
0.9071,0.0857,0,0,0.0072,-81.382,22.1,17,2016,1,1,1
0.0033,0.9945,0,0,0.0022,-81.382,22.3,17,2009,1,1,1
0,0,0,0.8472,0.1528,-81.382,22.8,7,2018,1,1,0
0.7259,0.2741,0,0,0,-81.38,22.2,20,2016,1,1,1
0.7846,0.1538,0,0.0615,0.0001,-81.38,23.5,19,2019,1,1,1
0.4362,0.5608,0,0,0.003,-81.379,22.4,16,2015,1,1,1
0.9552,0.0448,0,0,0,-81.379,22.5,5,2009,1,1,0
0.9964,0,0,0.0036,0,-81.377,22.2,13,2016,1,1,0
0.0769,0,0.7483,0.014,0.1608,-81.375,22.3,12,2012,1,1,0
0.0063,0.9937,0,0,0,-81.375,22.6,16.8,2009,1,1,1
0.7353,0,0,0.2529,0.0118,-81.375,23.2,7,2019,1,1,0
0.3621,0.1897,0.1034,0,0.3448,-81.374,22.3,17,2010,1,1,1
0.9882,0,0,0.0118,0,-81.374,23.6,13,2019,1,1,0
0.9938,0,0,0,0.0062,-81.373,22.3,8,2015,1,1,0
0.955,0,0,0.018,0.027,-81.373,22.3,10,2017,1,1,0
0.915,0.0305,0,0.0465,0.008,-81.373,22.5,20,2017,1,1,1
0,1,0,0,0,-81.373,22.6,16,2011,1,1,1
0.0328,0,0,0.8525,0.1147,-81.373,22.7,12,2018,1,1,0
0.0388,0.9612,0,0,0,-81.372,22.4,19,2015,1,1,1
0.5855,0.4145,0,0,0,-81.372,22.5,20,2015,1,1,1
0.8992,0,0,0.1008,0,-81.372,23.4,11,2019,1,1,0
0.0024,0.9902,0,0,0.0074,-81.37,22.3,16,2009,1,1,1
0.1,0.0167,0,0.8833,0,-81.37,22.7,16,2018,1,1,1
0,0,0.8824,0.0588,0.0588,-81.369,22.5,9,2012,1,1,0
0,0,0.8889,0,0.1111,-81.368,22.8,10,2011,1,1,0
0.9236,0.0018,0,0.0618,0.0128,-81.367,22.5,17,2017,1,1,1
0.8864,0,0,0.0455,0.0681,-81.367,22.5,5,2017,1,1,0
0.1011,0.2584,0,0.6404,1.00E-04,-81.367,22.9,18,2018,1,1,1
0.3571,0.2857,0.3571,0,1.00E-04,-81.366,22.8,13,2011,1,1,1
0.7368,0.0263,0.1842,0.0526,1.00E-04,-81.36,22.6,14,2010,1,1,0
0,0,1,0,0,-81.356,22.6,5,2011,1,1,0
0.0036,0.9854,0.0036,0,0.0074,-81.355,22.5,20,2010,1,1,1
0.0054,0.9946,0,0,0,-81.299,22.6,18,2009,1,1,1
0,1,0,0,0,-81.292,22.6,16,2011,1,1,1
0.0984,0.0022,0.7443,0.0273,0.1278,-81.283,11.5,5,2014,1,0,0
0.0125,0.0056,0.9498,0.0025,0.0296,-81.277,14.2,9,2014,1,0,0
0.0982,0.004,0.6929,0.0871,0.1178,-81.266,18.2,10,2014,1,0,0
0,0.6949,0,0.1581,0.147,-81.266,18.3,16,2014,1,0,1
0.0175,0,0.6667,0.3158,0,-81.264,18.8,5,2014,1,0,0
0.9167,0,0,0.0833,0,-81.261,22,11,2011,1,1,0
0.0024,0.9976,0,0,0,-81.244,22.6,16.8,2009,1,1,1
0.2337,0,0.0199,0.3188,0.4276,-81.23,22,15,2014,1,1,1
0.45,0.5,0.025,0,0.025,-81.11,21.9,13.1,2013,1,1,0
0.697,0,0,0.2121,0.0909,-81.108,22,14,2017,1,1,1
