RSYOY,RSYAO,ES,YPYOY,OTHER,LAT,LONG,Sdepth,Fdepth,Layer,Year
6,0,195,0,1,42.61833333,-81.02333333,13.3,11,1,2012
33,25,0,0,4,42.07589,-81.04292,22,10.7,0,2016
16,0,0,0,34,41.96127,-81.46101,22,10.7,0,2017
185,0,0,3,0,42.08716667,-81.7535,24.9,10,0,2019
0,0,16,0,2,42.325,-81.368,22.8,10,0,2011
106,0,0,2,3,42.34366667,-81.37333333,22.3,10,0,2017
888,0,0,1,0,42.35983333,-81.38533333,22.1,10,0,2016
2,2,40,2,44,41.79833333,-81.8595,21.9456,10,0,2012
0,4,86,0,1,41.86783333,-82.12966667,21.8,10,0,2009
51,0,0,15,15,41.9195,-82.164,21.8,10,0,2019
195,0,0,1,6,41.91316667,-82.15133333,21.2,10,0,2015
8,0,1730,0,14,42.0545,-82.215,20.9,10,0,2010
1264,1,0,8,27,42.47,-81.43016667,20.6,10,0,2017
41,0,175,259,55,42.124,-81.4827,20.2,10,0,2014
0,0,9,0,8,42.4815,-81.44933333,19.6,10,0,2012
124,0,0,11,1,42.53933333,-80.97466667,19.2,10,0,2019
16,0,267,1,15,42.228,-81.81183333,19,10,0,2012
436,2,5,188,120,42.3091,-80.5813,18.7,10,0,2014
0,0,1,0,1,42.50083333,-81.44083333,18.3,10,0,2009
220,9,1552,195,264,42.298,-81.2655,18.2,10,0,2014
669,2,0,5,4,42.54333333,-80.97466667,18.2,10,0,2017
681,2,0,0,2,42.55266667,-80.985,18.1,10,0,2015
0,14,14,0,1,42.57233333,-80.991,17,10,0,2010
465,3,0,218,2,42.605,-81.00016667,15.9,10,0,2019
0,546,25,0,1,42.1415,-82.25483333,14.7,10,0,2010
25,1,5,2,59,42.25933333,-81.82183333,14.4,10,0,2018
49,2,0,13,96,42.14083333,-82.25816667,14,10,0,2016
73,2301,1,2,8,42.2555,-81.82716667,13.4,10,0,2017
0,0,1215,20,7,42.15016667,-82.26366667,12.6,10,0,2013
672,814,3,0,3,42.5625,-81.47466667,11.3,10,0,2015
20,0,0,0,2,42.06322,-81.03712,22,9.4,0,2017
0,0,0,0,281,41.79473,-81.87192,22,9.1,0,2017
0,0,45,3,3,42.3105,-81.36933333,22.5,9,0,2012
4,0,0,8,89,41.92766667,-82.15066667,21.7,9,0,2018
427,11,0,13,1,42.45133333,-81.42616667,21.7,9,0,2019
22,2,13,1,129,41.921,-82.155,21.3,9,0,2017
253,7,0,8,12,42.055,-82.2245,20.9,9,0,2017
0,0,52,2,1,42.3935,-80.94416667,20.6,9,0,2012
