"","Year","mu","se","rse","Reps","EDSUs","perc_er","perc","Year_labs"
"308",4,3236.81035457072,337.196364495234,10.4559099052473,100,18,0.987032470316067,0.620689655172414,2009
"309",4,3182.45945563741,344.389647877675,10.8747251121562,100,17,0.70869121878373,0.586206896551724,2009
"310",4,3177.73519754881,356.150922688033,11.2701430061214,100,16,0.856085953948799,0.551724137931034,2009
"311",4,3187.5130606478,363.648464940891,11.4707830492261,100,15,0.551021007257259,0.517241379310345,2009
"312",4,3269.959969785,375.089501441022,11.5559217350986,100,14,2.02128560884037,0.482758620689655,2009
"313",4,3191.81834113892,406.025802271081,12.8559811665351,100,13,0.416698185366593,0.448275862068966,2009
"314",4,3134.44477706133,408.393737997559,13.1482514450999,100,12,2.20672767234584,0.413793103448276,2009
"315",4,3209.22056808309,423.276409707541,13.3658319231727,100,11,0.126243496398872,0.379310344827586,2009
"316",4,3198.6471872196,430.076903244427,13.6985676602476,100,10,0.203641248030026,0.344827586206897,2009
"317",4,3253.27543809378,459.303621065771,14.3483655588808,100,9,1.5007356973282,0.310344827586207,2009
"318",4,3278.03657891962,483.586062288492,15.0332034113256,100,8,2.27327219426904,0.275862068965517,2009
"319",4,3260.31578634929,516.454754836746,16.1576063497731,100,7,1.72039140773376,0.241379310344828,2009
"320",4,3248.77989842067,566.860479430624,18.0041256926605,100,6,1.36047687422509,0.206896551724138,2009
"321",4,3171.4793096796,591.115513016874,19.240789080567,100,5,1.05126685186168,0.172413793103448,2009
"322",4,3197.99812508475,684.62828533139,22.7278975853685,100,4,0.223891695757005,0.137931034482759,2009
"323",4,3330.00822739867,706.769942237206,23.1968053240835,100,3,3.89476433546831,0.103448275862069,2009
"324",4,3217.5809578185,923.3292863455,31.961792348282,100,2,0.387083909394335,0.0689655172413793,2009
"325",4,3324.86513572,NA,NA,100,1,3.73430217999544,0.0344827586206897,2009
"326",5,1158.34744225209,143.186503296306,12.3612741802165,100,110,0,1,2011
"327",5,1160.36773408297,144.19179162988,12.4269086923312,100,109,0.174411558845173,0.990909090909091,2011
"328",5,1159.88013453459,144.722585782028,12.4783193151465,100,108,0.132317146530815,0.981818181818182,2011
"329",5,1154.62756367785,144.430184731062,12.5078720807499,100,107,0.321136684776315,0.972727272727273,2011
"330",5,1160.54242102031,146.088975139123,12.5889694017049,100,106,0.189492261834209,0.963636363636364,2011
"331",5,1159.55288787254,146.723758617135,12.6538707241286,100,105,0.104065980247044,0.954545454545455,2011
"332",5,1154.00687369925,146.596479128489,12.7024763670839,100,104,0.374720778456346,0.945454545454545,2011
"333",5,1157.9649163826,147.806323794612,12.7648334661327,100,103,0.0330234138342247,0.936363636363636,2011
"334",5,1158.81336812992,148.854023404563,12.8474840588504,100,102,0.0402233268559592,0.927272727272727,2011
"335",5,1145.93817346715,147.078939879063,12.8287034466129,100,101,1.07129073128646,0.918181818181818,2011
"336",5,1160.69318568141,150.530043071242,12.9673701859953,100,100,0.202507757496261,0.909090909090909,2011
"337",5,1158.01477182826,151.338812442135,13.0720866823673,100,99,0.0287193990069577,0.9,2011
"338",5,1156.55410286969,150.395222047167,12.9992688320082,100,98,0.154818780357511,0.890909090909091,2011
"339",5,1150.12535679249,150.663567477518,13.094639636213,100,97,0.70981168168434,0.881818181818182,2011
"340",5,1154.91707710245,152.373714679538,13.1939331032936,100,96,0.29614302449495,0.872727272727273,2011
"341",5,1154.34920926922,152.899338600316,13.2404730307187,100,95,0.345166988507143,0.863636363636364,2011
"342",5,1155.97336570337,154.255428914632,13.3472472433851,100,94,0.20495375239982,0.854545454545454,2011
"343",5,1156.89220936849,156.174285280569,13.5030155932647,100,93,0.125630085630464,0.845454545454545,2011
"344",5,1163.21421469743,157.843078601426,13.5754215553569,100,92,0.420147899310901,0.836363636363636,2011
"345",5,1163.78220136904,157.5674382456,13.5388216017133,100,91,0.469182122626728,0.827272727272727,2011
"346",5,1148.47088051247,156.970473838831,13.6663158190661,100,90,0.852642426560898,0.818181818181818,2011
"347",5,1180.76443521553,161.881397871496,13.7153393127254,100,89,1.93525639594427,0.809090909090909,2011
"348",5,1153.82734348177,157.358781543702,13.6359755674267,100,88,0.390219601256762,0.8,2011
"349",5,1160.46321854902,159.772265090491,13.7585874508098,100,87,0.182654721696785,0.790909090909091,2011
"350",5,1150.36217605949,160.272784187646,13.9317127259978,100,86,0.689367101901244,0.781818181818182,2011
"351",5,1162.94999870482,162.982823912662,14.0008556288741,100,85,0.397338163390722,0.772727272727273,2011
"352",5,1152.92940120165,161.63402129503,14.0208016896066,100,84,0.467738853888985,0.763636363636364,2011
"353",5,1152.67459047373,163.882500983985,14.2105798031534,100,83,0.489736634401582,0.754545454545455,2011
"354",5,1165.92117254523,167.070678167472,14.3366423899704,100,82,0.653839255552676,0.745454545454545,2011
"355",5,1159.05351545531,167.018752359663,14.4003628726041,100,81,0.0609552175338508,0.736363636363636,2011
"356",5,1157.98358696498,167.0294479651,14.4294071895244,100,80,0.0314115846285741,0.727272727272727,2011
"357",5,1159.18147229095,166.711272028821,14.3762587339692,100,79,0.0720017162759209,0.718181818181818,2011
"358",5,1164.82823118488,171.505064655505,14.7232852566448,100,78,0.559485754998811,0.709090909090909,2011
"359",5,1156.0658989265,170.62516967646,14.7761503482857,100,77,0.196965370006139,0.7,2011
"360",5,1168.46464264768,171.765069008385,14.6921154643254,100,76,0.87341673374941,0.690909090909091,2011
"361",5,1147.29131399881,172.852426670581,15.0640439634514,100,75,0.954474266528254,0.681818181818182,2011
"362",5,1166.92329182992,174.160636242185,14.9250738305761,100,74,0.740352096876322,0.672727272727273,2011
"363",5,1170.31710345658,178.399098965853,15.260858162466,100,73,1.03333945998293,0.663636363636364,2011
"364",5,1148.33724605553,177.336514004469,15.4528572657362,100,72,0.864179073689758,0.654545454545455,2011
"365",5,1141.27856229687,175.84416377734,15.4022722677367,100,71,1.47355442180893,0.645454545454546,2011
"366",5,1161.36070662407,180.320955433553,15.5238355166957,100,70,0.260134762858038,0.636363636363636,2011
"367",5,1158.83061729507,180.236264735499,15.5533312059435,100,69,0.0417124452779963,0.627272727272727,2011
"368",5,1177.48113237323,184.970671803343,15.7056854582794,100,68,1.65180924334198,0.618181818181818,2011
"369",5,1152.43413207543,182.292295746157,15.8105655360255,100,67,0.510495379966592,0.609090909090909,2011
"370",5,1140.08961432556,181.239840061364,15.8901059333147,100,66,1.5761961619247,0.6,2011
"371",5,1168.62855235869,187.919402212678,16.0675075643667,100,65,0.887567040041662,0.590909090909091,2011
"372",5,1166.25638418482,188.447621340801,16.1362680458103,100,64,0.682778037421077,0.581818181818182,2011
"373",5,1158.80178402286,187.691808450156,16.1796437802004,100,63,0.0392232722409788,0.572727272727273,2011
"374",5,1179.53523339006,195.869209004991,16.6194899439704,100,62,1.8291395452794,0.563636363636364,2011
"375",5,1133.20965012423,186.679813382227,16.4534283943962,100,61,2.17014267144101,0.554545454545455,2011
"376",5,1179.15050324443,195.03194705595,16.5484226863432,100,60,1.79592583654274,0.545454545454545,2011
"377",5,1173.16620784376,194.349547798397,16.5376085925971,100,59,1.27930231044098,0.536363636363636,2011
"378",5,1151.99097630974,194.59290589068,16.8604068665567,100,58,0.54875296569019,0.527272727272727,2011
"379",5,1152.43878639537,198.807982771552,17.2658022521108,100,57,0.510093573067908,0.518181818181818,2011
"380",5,1161.54790341263,199.476598150415,17.1744803477084,100,56,0.276295439848391,0.509090909090909,2011
"381",5,1172.29219391043,202.652976860134,17.2402948542927,100,55,1.20384878920539,0.5,2011
