"Lat_M","Lon_M","Date_M","Time_M","LAYER","TRANSECT","FishDensity","Targets_Binned","BottomDepth","N_YAOSized","YAO_FishDens","SurveyRandom","Stratum","ScaleDensity"
42.60923626,-79.76961209,20200723,08:36:37,"LO","T22b",254.928863888341,52,45.38092,34,166.684257157762,"T",2.2,-370.999288471647
42.61265209,-79.53296181,20200722,04:57:55,"LO","T3b",4511.90754469004,371,40.196219,351,4268.67802745607,"T",3,449.399465588015
42.612982,-79.63625133,20200723,06:39:20,"LO","R22d",4133.16785427815,1257,45.10547,1173,3856.96570649823,"R",NA,367.057001396446
42.6130245,-79.80725261,20200723,04:44:47,"LO","T23b",901.711092756004,237,46.075034,216,821.812641499143,"T",2.3,-239.973611603371
42.61613805,-79.7715238,20200723,08:41:04,"LO","T22b",225.219858198695,62,43.912667,46,167.098604469999,"T",2.2,-370.9164190092
42.6187167,-79.80875001,20200723,04:41:01,"LO","T23b",382.656723306951,144,44.485222,128,340.139309606179,"T",2.3,-336.308277981964
42.6195974,-79.63152396,20200723,06:34:39,"LO","R22d",3715.11291061485,648,42.076326,623,3571.7829372115,"R",NA,310.0204475391
42.61965918,-79.53513333,20200722,05:02:30,"LO","T3b",3142.30739082225,330,37.331577,290,2761.42164648016,"T",3,147.948189392833
42.62573333,-79.81076667,20200723,04:36:24,"LO","T23b",229.946237924721,58,42.704115,42,166.512792979971,"T",2.3,-371.033581307205
42.62660562,-79.53746299,20200722,05:07:04,"LO","T3b",4663.06550854071,262,34.305312,243,4324.90426937173,"T",3,460.644713971146
42.63272813,-79.81290382,20200723,04:31:47,"LO","T23b",175.125550856417,50,41.438054,35,122.587885599492,"T",2.3,-379.818562783301
42.63359888,-79.53973852,20200722,05:11:37,"LO","T3b",2521.88971212156,268,31.970846,245,2305.45887861859,"T",3,56.7556358205187
42.63812882,-79.98943178,20200724,04:15:09,"LO","R23a",816.939894540511,63,38.542131,45,583.528496100365,"R",NA,-287.630440683127
42.63966667,-79.81526667,20200723,04:27:10,"LO","T23b",366.7466614697,67,40.232795,37,202.531738423566,"T",2.3,-363.829792218486
42.64065548,-79.54193333,20200722,05:16:10,"LO","T3b",1263.16041820965,164,30.476329,138,1062.90327873739,"T",3,-191.755484155723
42.64243633,-79.98136067,20200724,04:19:45,"LO","R23a",1092.3542435454,84,38.612888,50,650.210859253214,"R",NA,-274.293968052557
42.6453214,-79.68023333,20200722,09:33:26,"LO","T23a",209.676494596103,19,34.903441,17,187.605284638618,"T",2.3,-366.815082975476
42.64658945,-79.81780759,20200723,04:22:31,"LO","T23b",509.620774354417,94,39.272263,61,330.71135357042,"T",2.3,-338.193869189116
42.64672724,-79.9736008,20200724,04:24:18,"LO","R23a",2646.90890226873,139,38.568786,96,1828.08096847337,"R",NA,-38.719946208526
42.64760897,-79.54422521,20200722,05:20:43,"LO","T3b",2394.32397688913,231,29.577395,185,1917.5321892835,"T",3,-20.8297020464999
42.65016929,-79.68177631,20200722,09:30:28,"LO","T23a",314.30664792625,34,34.221413,31,286.573708403346,"T",2.3,-347.02139822253
42.65101815,-79.96583111,20200724,04:28:54,"LO","R23a",4816.44871512415,179,37.835292,141,3793.96239571232,"R",NA,354.456339239264
42.6535,-79.82041667,20200723,04:17:52,"LO","T23b",702.919537793482,99,38.472024,79,560.915590764496,"T",2.3,-292.1530217503
42.65425354,-79.4116734,20200722,04:01:49,"LO","T3a",2101.42821742569,143,26.246602,115,1689.95975527241,"T",3,-66.3441888487182
42.65454377,-79.54667015,20200722,05:25:17,"LO","T3b",3889.49779979365,264,29.051945,226,3329.64584376274,"T",3,261.593028849349
42.65543418,-79.9582154,20200724,04:33:32,"LO","R23a",5397.89017050857,273,36.862928,215,4251.08566541883,"R",NA,445.880993180567
42.65716535,-79.68391217,20200722,09:26:13,"LO","T23a",166.82513549159,79,33.618987,65,137.261187429789,"T",2.3,-376.883902417242
42.65981622,-79.95054234,20200724,04:38:11,"LO","R23a",5319.78056918554,315,36.003083,232,3918.06060968586,"R",NA,379.275982033972
42.66040893,-79.82301964,20200723,04:13:13,"LO","T23b",292.678875722755,75,37.43648,54,210.728790520384,"T",2.3,-362.190381799123
42.66115,-79.41433333,20200722,03:57:08,"LO","T3a",1418.34345323028,129,25.934336,96,1055.51140705509,"T",3,-193.233858492182
42.66139632,-79.54944754,20200722,05:29:48,"LO","T3b",2439.70475031658,237,28.668574,196,2017.64612262468,"T",3,-0.80691537826392
42.66271622,-79.94557566,20200724,04:41:13,"LO","R23a",9154.73649141113,108,35.22644,87,7374.64884030341,"R",NA,1070.59362815748
42.66416067,-79.68609433,20200722,09:21:57,"LO","T23a",986.810133330659,100,33.257618,87,858.524815997673,"T",2.3,-232.631176703665
42.66733922,-79.8254853,20200723,04:08:35,"LO","T23b",257.606370853252,67,36.41687,53,203.778173958542,"T",2.3,-363.580505111491
42.66800346,-79.41715671,20200722,03:52:25,"LO","T3a",2092.22297074166,105,25.701544,78,1554.22277826523,"T",3,-93.4915842501528
42.66828969,-79.55217091,20200722,05:34:17,"LO","T3b",2046.96873173297,195,28.414057,143,1501.11040327084,"T",3,-104.114059249031
42.67062625,-79.71631896,20200723,05:30:28,"LO","R23d",890.397746237189,81,34.481509,68,747.494404248504,"R",NA,-254.837259053499
42.67114904,-79.68825523,20200722,09:17:41,"LO","T23a",3167.0789819724,196,32.960523,184,2973.17618715776,"T",2.3,190.299097528353
42.67434113,-79.8277026,20200723,04:03:57,"LO","T23b",603.918848163469,138,35.418112,122,533.899271564806,"T",2.3,-297.556285590238
42.67486667,-79.41988333,20200722,03:47:42,"LO","T3a",3139.03222762974,144,25.603773,109,2376.0730056364,"T",3,70.8784612240798
42.67520081,-79.55488916,20200722,05:38:45,"LO","T3b",2534.50081514544,178,28.267368,116,1651.69716043186,"T",3,-73.9967078168277
42.67558513,-79.7092482,20200723,05:35:02,"LO","R23d",577.130588081769,79,33.87469,62,452.937929886958,"R",NA,-313.748553925808
42.67818392,-79.69032515,20200722,09:13:27,"LO","T23a",3996.85462219842,312,32.702197,293,3753.45642405172,"T",2.3,346.355144907145
42.68058333,-79.70231667,20200723,05:39:37,"LO","R23d",601.292367295158,67,33.307933,59,529.496263737527,"R",NA,-298.436887155694
42.68134164,-79.82993055,20200723,03:59:16,"LO","T23b",975.548506004214,224,34.739896,199,866.670324530529,"T",2.3,-231.002074997094
42.68174654,-79.42266321,20200722,03:43:01,"LO","T3a",2360.99762905929,100,25.750059,83,1959.62803211921,"T",3,-12.4105334793572
42.68207342,-79.55764669,20200722,05:43:18,"LO","T3b",1650.8862573357,189,28.190516,128,1118.06053406862,"T",3,-180.724033089476
42.68272463,-79.91483259,20200724,04:58:48,"LO","R23b",4740.86261907583,294,32.956033,236,3805.59040170713,"R",NA,356.781940438227
42.68521667,-79.6923,20200722,09:09:14,"LO","T23a",3870.44294798747,306,32.450738,283,3579.52730157011,"T",2.3,311.569320410823
42.68538371,-79.92441815,20200724,05:03:42,"LO","R23b",4146.40117100631,275,32.048878,225,3392.51004900516,"R",NA,274.165869897833
42.68557711,-79.69538956,20200723,05:44:12,"LO","R23d",589.851118607176,100,32.783565,86,507.271962002171,"R",NA,-302.881747502765
42.68800398,-79.9334199,20200724,05:08:18,"LO","R23b",4084.09260739909,266,31.618057,239,3669.54185401647,"R",NA,329.572230900095
42.68831667,-79.83213333,20200723,03:54:34,"LO","T23b",1999.85428363662,324,33.962282,277,1709.75196471403,"T",2.3,-62.3857469603942
42.68858183,-79.42554394,20200722,03:38:23,"LO","T3a",2419.62899939733,133,25.98088,108,1964.81151830761,"T",3,-11.3738362416783
42.68893867,-79.56039622,20200722,05:47:54,"LO","T3b",1725.79787594954,154,28.223472,140,1568.90715995413,"T",3,-90.5547079123733
42.69053684,-79.94249737,20200724,05:12:52,"LO","R23b",12440.0072562918,466,31.410785,421,11238.7190019288,"R",NA,1843.40766048257
42.69057198,-79.6884337,20200723,05:48:45,"LO","R23d",1668.76737561436,137,32.299227,122,1486.05561916024,"R",NA,-107.125016071152
42.69223972,-79.69449743,20200722,09:05:00,"LO","T23a",9531.86693941454,383,32.230561,366,9108.78146168596,"T",2.3,1417.42015243399
42.6930903,-79.9515612,20200724,05:17:25,"LO","R23b",13214.3937748003,402,31.128722,365,11998.1436014978,"R",NA,1995.29258039635
42.69531667,-79.8341,20200723,03:49:56,"LO","T23b",4012.2282485838,520,32.915098,469,3618.72124728039,"T",2.3,319.408109552879
42.69537895,-79.42860614,20200722,03:33:46,"LO","T3a",2269.81240835454,182,26.257967,163,2032.85397011972,"T",3,2.23465412074506
42.69547057,-79.68131914,20200723,05:53:17,"LO","R23d",3150.75503830527,215,31.817223,197,2886.97089556343,"R",NA,173.058039209487
42.69581908,-79.96054298,20200724,05:21:58,"LO","R23b",9101.87102764485,501,30.365935,437,7939.15696423313,"R",NA,1183.49525294343
42.69582575,-79.56306716,20200722,05:52:29,"LO","T3b",5885.53639677186,162,28.163571,153,5558.56215250675,"T",3,707.376290598151
