Lat_M,Lon_M,Date_M,Time_M,LAYER,TRANSECT,FishDensity,Targets_Binned,BottomDepth,N_YAOSized,YAO_FishDens,Stratum,ScaleDensity
42.33666148,-80.0194816,###############################################################################################################################################################################################################################################################,8:18:24,LO,T21A,4371.456263,443,32.547376,385,3799.121131,2.1,465.4602165
42.33833333,-80.09088333,###############################################################################################################################################################################################################################################################,3:03:17,LO,T1B,468.4033096,73,30.145081,20,128.3296739,1,-268.6980749
42.33833333,-80.09088333,###############################################################################################################################################################################################################################################################,3:03:17,LO,T1B,468.4033096,73,30.145081,20,128.3296739,1,-268.6980749
42.3432304,-80.26036013,###############################################################################################################################################################################################################################################################,3:45:46,LO,T1A,4734.281729,277,25.763535,156,2666.238086,1,238.8836074
42.34357378,-80.02211904,###############################################################################################################################################################################################################################################################,8:22:55,LO,T21A,3947.14398,464,33.370953,386,3283.615466,2.1,362.3590835
42.34521509,-80.09361059,###############################################################################################################################################################################################################################################################,2:58:48,LO,T1B,502.2630632,100,30.979351,14,70.31682885,1,-280.3006439
42.34521509,-80.09361059,###############################################################################################################################################################################################################################################################,2:58:48,LO,T1B,502.2630632,100,30.979351,14,70.31682885,1,-280.3006439
42.35022333,-80.26258,###############################################################################################################################################################################################################################################################,3:41:17,LO,T1A,2823.291165,243,26.326491,111,1289.65152,1,-36.43370572
42.35161323,-80.02471552,###############################################################################################################################################################################################################################################################,8:28:06,LO,T21A,4580.48496,349,34.234047,283,3714.261443,2.1,448.488279
42.3520967,-80.09631001,###############################################################################################################################################################################################################################################################,2:54:18,LO,T1B,686.5854473,102,31.767771,28,188.4744365,1,-256.6691224
42.3520967,-80.09631001,###############################################################################################################################################################################################################################################################,2:54:18,LO,T1B,686.5854473,102,31.767771,28,188.4744365,1,-256.6691224
42.35721896,-80.26471743,###############################################################################################################################################################################################################################################################,3:36:50,LO,T1A,1228.057089,157,26.92675,83,649.2276333,1,-164.5184831
42.35900619,-80.09891873,###############################################################################################################################################################################################################################################################,2:49:47,LO,T1B,666.9870021,110,32.474606,30,181.905546,1,-257.9829005
42.35900619,-80.09891873,###############################################################################################################################################################################################################################################################,2:49:47,LO,T1B,666.9870021,110,32.474606,30,181.905546,1,-257.9829005
42.36337827,-79.63253551,###############################################################################################################################################################################################################################################################,6:45:00,LO,T21B,123.815256,10,20.44219,6,74.28915358,2.1,-279.506179
42.36421267,-80.26692511,###############################################################################################################################################################################################################################################################,3:32:24,LO,T1A,1106.487823,125,27.598023,44,389.4837136,1,-216.467267
42.3659,-80.10161667,###############################################################################################################################################################################################################################################################,2:45:16,LO,T1B,522.0773631,139,33.382276,40,150.2380901,1,-264.3163917
42.3659,-80.10161667,###############################################################################################################################################################################################################################################################,2:45:16,LO,T1B,522.0773631,139,33.382276,40,150.2380901,1,-264.3163917
42.37041811,-79.63440048,###############################################################################################################################################################################################################################################################,6:40:35,LO,T21B,1112.23983,129,24.690565,97,836.3353759,2.1,-127.0969345
42.37121667,-80.26913333,###############################################################################################################################################################################################################################################################,3:27:59,LO,T1A,351.4072033,65,28.455871,18,97.312764,1,-274.9014569
42.37278516,-80.10431728,###############################################################################################################################################################################################################################################################,2:40:43,LO,T1B,693.3822345,167,34.554464,25,103.7997357,1,-273.6040626
42.37278516,-80.10431728,###############################################################################################################################################################################################################################################################,2:40:43,LO,T1B,693.3822345,167,34.554464,25,103.7997357,1,-273.6040626
42.37599968,-79.94387788,###############################################################################################################################################################################################################################################################,7:46:28,LO,T22A,4666.203612,387,38.644321,3,36.17212102,2.2,-287.1295855
