year,Agency,grid,Latitude,Longitude,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total
2018,ON,33,41.8248,-82.8953,10.6,24.4,25.3,2.5,6.1,6.2,0,65,0,0,602,12897,13563
2013,ON,44,41.8352,-82.8075,10.6,22.1,22.1,3,8.2,8.6,0,0,0,4,42,315,361
2013,ON,31,41.8882,-82.8768,10.6,21.8,23.5,2.7,7.2,6.8,0,0,0,0,8,19,27
2010,ON,42,41.9398,-82.7967,10.6,23.7,26,1.5,3.1,,0,80,708,0,0,2602,3390
2017,ON,92,41.9423,-82.5452,10.6,15.7,23.6,1.2,3.5,5.3,0,0,0,0,170,24,194
2017,ON,66,41.976,-82.6925,10.6,21.3,23.7,2.9,4.8,4.1,0,0,0,0,50,25,75
2011,ON,66,41.9763,-82.6942,10.6,18.7,23.8,2.6,4.7,,0,4,79,0,0,25,108
2018,ON,75,41.9798,-82.6343,10.6,24.9,25.2,2,6.5,6.9,0,27,0,3,0,4477,4507
2019,OH,958,41.6739,-82.8633,10.5,24.1,24.2,1.2,8.1,,0,0,0,0,39,2122,2161
2006,ON,64,41.6995,-82.7183,10.5,24.3,24.5,2,8.4,,0,0,0,0,96,181,277
2013,ON,64,41.7013,-82.718,10.5,22.3,23.4,1.9,7,6.9,0,0,0,0,183,76,259
2014,ON,64,41.7018,-82.7198,10.5,22.2,22.6,2,10.1,10.1,0,0,0,0,123,100,223
2008,ON,63,41.7245,-82.738,10.5,23,23.5,2.1,6.2,,0,28,0,0,418,474,920
2010,ON,63,41.7263,-82.7373,10.5,23,25.1,1.5,2.8,,0,7,250,0,295,555,1107
2012,ON,95,41.8125,-82.5442,10.5,23.2,23.6,3.1,7.3,7,0,4,126,4,7,59,200
2008,ON,95,41.8128,-82.5432,10.5,20.9,22.3,3.5,7.2,,0,0,0,0,1030,174,1204
2015,ON,33,41.8208,-82.8947,10.5,23.8,23.9,1.7,8.5,8.4,0,7,14,10,38,4483,4552
2017,ON,33,41.823,-82.8993,10.5,23.6,23.8,2.3,8.4,8.7,0,4,0,74,273,5328,5680
2011,ON,33,41.8243,-82.8953,10.5,24.4,24.8,1.1,10,,0,0,27,0,61,1671,1759
2009,ON,45,41.825,-82.7947,10.5,23.5,24.7,2.5,6.5,,0,67,138,0,350,1785,2339
2011,ON,45,41.825,-82.7958,10.5,24.4,24.6,1.5,6.9,,0,0,81,15,111,384,592
2016,ON,45,41.8253,-82.7953,10.5,26.1,26.4,1.6,8.1,8.1,0,4,0,16,52,3976,4047
2017,ON,45,41.8332,-82.8107,10.5,23.7,23.9,2,7.7,8.2,0,238,0,100,96,3269,3703
2019,OH,918,41.8393,-83.0559,10.5,23.8,24.3,2.4,7.3,,0,0,0,0,535,1505,2040
2011,ON,31,41.8813,-82.8803,10.5,24.4,24.7,1.1,6.4,,0,4,390,36,24,1008,1462
2015,ON,92,41.9418,-82.5523,10.5,23.6,24.8,2.7,8.2,8.7,0,7,0,0,15,408,430
2014,ON,66,41.9768,-82.6953,10.5,22.8,22.9,1.9,8.3,8.2,0,0,126,0,26,2989,3142
2013,ON,75,41.9783,-82.6355,10.5,22.5,22.5,2.3,8.3,8.9,0,19,0,0,23,42,85
2015,ON,75,41.9808,-82.6357,10.5,22.6,24.7,2.1,5.5,9.5,0,211,16,0,247,458,932
2017,ON,75,41.9818,-82.6345,10.5,18.2,24.4,3,3.2,7.2,0,0,0,0,8,12,20
2013,ON,92,41.9418,-82.5498,10.4,21.9,24,2.5,7.5,7.7,7,11,0,0,111,556,685
2018,OH,969,41.6612,-82.7628,10.4,23.7,24,1.2,7.3,,0,9,0,0,53,2303,2365
2009,ON,64,41.6998,-82.718,10.4,24.6,24.6,2.1,7.4,,0,4,4,0,442,1840,2290
2008,ON,64,41.7008,-82.719,10.4,23.1,23.1,2,7.9,,0,0,0,0,260,7214,7474
2007,ON,63,41.7262,-82.7358,10.4,25.3,25.3,2.5,7.9,,0,616,148,4,252,8620,9640
2018,ON,61,41.8045,-82.7305,10.4,25,25,1.3,8.3,8.2,0,4,0,0,471,3182,3657
2010,ON,95,41.8128,-82.5438,10.4,23,23.3,1.7,7.9,,0,4,0,0,0,715,718
2007,ON,95,41.8142,-82.5428,10.4,21.9,23.4,2,6.6,,0,28,255,0,932,1753,2968
2007,ON,33,41.8227,-82.8992,10.4,25.1,25.2,1.6,7.9,,0,159,104,28,279,9198,9768
2013,ON,45,41.8237,-82.7948,10.4,22,22.1,2.8,8,8.4,0,0,4,0,93,1035,1131
2008,ON,33,41.8238,-82.895,10.4,23.8,23.8,2.8,7.6,,0,4,4,0,82,7793,7882
2014,ON,45,41.8263,-82.7918,10.4,23,23.2,2.9,7.7,7.7,0,0,0,0,96,4352,4448
2015,ON,45,41.8322,-82.8085,10.4,23.8,23.8,2.8,8.5,8.4,0,11,0,74,0,1921,2007
2014,ON,45,41.8332,-82.8055,10.4,22.9,23.3,2.9,7.6,7.5,0,0,0,0,96,7140,7236
2009,ON,44,41.8352,-82.8077,10.4,23.4,24.6,2.1,6.4,,0,13,42,0,593,2761,3409
2013,ON,99,41.9282,-82.5267,10.4,23.1,23.1,2.6,6,8.6,0,0,0,29,610,556,1194
2014,ON,92,41.9417,-82.5528,10.4,22.1,22.7,1.7,9.5,9.9,0,12,327,0,370,3123,3832
2012,ON,66,41.9722,-82.6982,10.4,24.2,24.2,1.8,8.4,8.3,0,131,77,19,92,2835,3154
2009,ON,75,41.9793,-82.6338,10.4,19.7,23.9,2,3.3,,0,0,0,0,11,179,190
2019,OH,943,41.6652,-82.9227,10.3,24,24.2,0.9,8.3,,0,0,12,0,150,2835,2996
2015,ON,61,41.8053,-82.7318,10.3,24,25.1,2.3,7.3,9.2,0,126,96,0,197,1001,1421
2013,ON,61,41.8055,-82.7307,10.3,22.3,23.2,2,7.8,7,0,0,0,0,7,47,54
2006,ON,102,41.8138,-82.541,10.3,23.9,24.2,4,6.6,,0,0,0,0,1575,634,2209
2009,ON,33,41.8223,-82.8972,10.3,23.4,23.6,2.3,7.3,,0,11249,0,4,4,30,11286
2006,ON,33,41.8223,-82.8982,10.3,24.7,24.9,1.5,6.9,,0,12,0,4,761,7153,7929
2012,ON,33,41.823,-82.8942,10.3,24,24,2.3,8.5,8.1,0,338,0,31,227,5025,5620
2007,ON,45,41.8243,-82.7968,10.3,25.3,25.4,1.5,8.6,,0,797,8,0,36,1103,1944
2016,ON,33,41.825,-82.8972,10.3,25.9,26.1,2.1,8.5,8.4,0,0,0,33,46,14837,14915
2008,ON,92,41.94,-82.5538,10.3,22.7,22.7,2.3,7.6,,0,0,457,0,146,188,791
2016,ON,92,41.9422,-82.551,10.3,17.4,24.6,1.7,5.6,6.1,0,0,0,0,7,4,11
2008,ON,66,41.9727,-82.6967,10.3,22.5,22.6,3.7,7.7,,0,7,401,0,11,167,586
2016,ON,66,41.9767,-82.6952,10.3,26,26,1.8,8.3,8.3,0,165,0,161,79,2409,2815
2014,ON,75,41.9817,-82.6353,10.3,22.9,22.9,1.8,8.8,8.6,0,44,52,0,4,1235,1335
2012,ON,64,41.7015,-82.7182,10.2,23.7,23.8,1.8,8.3,8.6,0,8,8,0,115,960,1091
2017,ON,61,41.8027,-82.7303,10.2,24,24,1.5,8.2,7.5,0,0,0,7,148,3765,3920
2006,ON,61,41.8047,-82.7335,10.2,24.4,25,2.5,8.1,,0,8,0,16,199,8246,8469
2012,ON,45,41.8217,-82.7975,10.2,23.9,24.2,1.8,8.1,8.1,0,272,305,0,0,5382,5959
2010,ON,45,41.8218,-82.7953,10.2,25.2,25.7,1.7,7.5,,0,22,570,0,161,939,1692
2006,ON,45,41.8222,-82.798,10.2,24.6,24.7,1.8,8.1,,0,45,0,0,52,11599,11696
2014,ON,33,41.8225,-82.8938,10.2,22.5,22.6,3.2,10.7,,0,15,0,0,7,32865,32888
2016,ON,45,41.8298,-82.81,10.2,25.9,26.1,1.7,8.3,8.3,0,4,0,19,100,5256,5378
2012,ON,45,41.8308,-82.8107,10.2,24.1,24.2,1.9,8,8.2,0,129,817,0,0,57,1004
2006,ON,45,41.8327,-82.8115,10.2,24.7,24.8,2.1,5.2,,0,8,0,0,100,6111,6219
2011,ON,92,41.9383,-82.5523,10.2,15.7,23.6,0.8,6.7,,0,0,0,4,4,211,219
2016,ON,75,41.9795,-82.6367,10.2,24.4,26.5,1.7,9.1,9.3,0,52,0,14,21,1756,1842
2017,OH,996,41.4554,-82.5947,10.1,22,23.9,3.1,5.5,,0,0,0,0,0,236,236
2013,OH,996,41.4567,-82.5967,10.1,22.2,23.3,1.5,6,,0,18,22,0,754,2189,2983
2016,OH,996,41.4573,-82.5953,10.1,21.8,23.5,1.2,4.4,,0,0,0,0,0,1116,1116
2018,OH,996,41.4576,-82.5968,10.1,23.6,23.6,1.2,8.1,,0,18,0,0,4,1956,1978
2015,OH,975,41.6357,-82.7442,10.1,22.3,24.6,1.5,6.3,,0,19,484,0,590,2971,4064
2017,OH,975,41.6366,-82.7441,10.1,23.2,24.2,1.5,5.9,,0,9,0,0,62,331,402
2018,OH,975,41.6376,-82.7406,10.1,23.7,23.9,1.2,7.6,,0,9,0,0,28,2469,2506
2016,ON,64,41.7022,-82.7178,10.1,24.9,25.4,,9,9.3,0,0,0,0,46,123,169
