year,Agency,grid,Depth,Btemp,Stemp,secchi,botoxy,botoxy2,ALEWIFN,GSHADN,ESHIN,MiscSHIN,OtherSOFT,SPINCAT,Total,strata,DISCHARGE,AREA,PERIMETER
2015,OH,879,7,21.7,21.8,1.2,7.4,NA,0,20,0,0,34,1581,1634,1,Detroit R.,1066406006,353171.391
2015,ON,6,7.4,23.1,23.4,2,8.1,8.9,0,26,0,33,846,734,1639,1,Detroit R.,1066406006,353171.391
2012,ON,11,8.7,22.7,22.9,2.4,8.5,8.4,0,4,22,11,126,1502,1665,1,Detroit R.,1066406006,353171.391
2009,OH,896,7.6,24.9,25.6,1.5,5.5,NA,0,10,949,0,379,330,1667,1,Detroit R.,1066406006,353171.391
2018,OH,879,7,24.1,24.6,1.5,7.9,NA,0,0,0,0,28,1667,1695,1,Detroit R.,1066406006,353171.391
2017,OH,911,8.8,23.5,23.5,1.8,9.1,NA,0,0,69,8,403,1258,1738,1,Detroit R.,1066406006,353171.391
2019,OH,896,9.3,24.1,25.1,0.9,5.9,NA,0,0,0,0,23,1736,1759,1,Detroit R.,1066406006,353171.391
2006,ON,31,11.1,24.3,24.4,1.8,8,NA,0,4,0,69,434,1256,1763,1,Detroit R.,1066406006,353171.391
2016,OH,911,8.5,25.3,25.4,1.5,7.5,NA,0,0,0,12,41,1713,1766,1,Detroit R.,1066406006,353171.391
2007,ON,11,8.7,24.5,24.8,1.6,8.3,NA,0,4,223,123,734,684,1767,1,Detroit R.,1066406006,353171.391
2013,OH,931,9.2,21.6,22.8,2.1,6.1,NA,0,0,0,0,53,1726,1779,1,Detroit R.,1066406006,353171.391
2013,ON,6,7.6,21,21.2,1.8,8.5,8.7,0,0,0,219,1014,599,1832,1,Detroit R.,1066406006,353171.391
2013,OH,905,8.5,21.8,24,1.5,4.7,NA,0,0,0,0,98,1749,1847,1,Detroit R.,1066406006,353171.391
2010,OH,931,9.2,24.7,24.7,1.3,7.4,NA,0,0,230,0,41,1584,1854,1,Detroit R.,1066406006,353171.391
2013,ON,10,6.6,22,22.1,2.6,9,8.9,0,0,125,143,179,1448,1897,1,Detroit R.,1066406006,353171.391
2016,OH,918,8.8,25.2,25.3,2.4,7.5,NA,0,9,0,19,46,1839,1913,1,Detroit R.,1066406006,353171.391
2019,OH,918,10.5,23.8,24.3,2.4,7.3,NA,0,0,0,0,535,1505,2040,1,Detroit R.,1066406006,353171.391
2011,OH,905,8.5,24,24.4,1.8,8.3,NA,0,0,0,0,385,1690,2076,1,Detroit R.,1066406006,353171.391
2009,ON,31,11.3,23.3,25.1,2.9,4.1,NA,0,7,19,45,352,1662,2084,1,Detroit R.,1066406006,353171.391
2010,OH,896,7.3,23.6,23.8,2,6.5,NA,0,13,0,0,1020,1057,2090,1,Detroit R.,1066406006,353171.391
2013,OH,898,7,21.8,25.5,1.2,4.5,NA,0,9,0,0,52,2033,2094,1,Detroit R.,1066406006,353171.391
2007,ON,21,8.8,22.6,22.6,1.4,8.2,NA,0,461,493,10,357,777,2099,1,Detroit R.,1066406006,353171.391
2007,OH,8,7.9,22.8,23.6,1.5,8.1,NA,0,0,25,370,351,1362,2107,1,Detroit R.,1066406006,353171.391
2008,OH,918,8.2,22.5,23,2.1,6.7,NA,0,39,0,46,559,1516,2159,1,Detroit R.,1066406006,353171.391
2017,OH,905,8.8,23.6,23.6,1.5,9.4,NA,0,0,0,0,339,1870,2210,1,Detroit R.,1066406006,353171.391
2019,OH,898,8.8,23.9,25.3,1.2,7,NA,0,0,0,0,30,2180,2210,1,Detroit R.,1066406006,353171.391
2019,ON,31,12,24.4,25.8,NA,7.3,7.5,0,0,0,9,493,1725,2227,1,Detroit R.,1066406006,353171.391
2017,ON,11,9,23.2,23.6,1.7,8.8,9.1,0,0,0,342,933,1175,2451,1,Detroit R.,1066406006,353171.391
2007,ON,20,8.4,22.6,22.6,1,8.1,NA,0,140,398,22,387,1509,2456,1,Detroit R.,1066406006,353171.391
2019,ON,20,9.5,24.1,25.2,NA,7,7.3,0,4,0,0,168,2285,2457,1,Detroit R.,1066406006,353171.391
2015,OH,931,9.5,22,22.8,1.8,8.2,NA,0,38,0,12,11,2407,2468,1,Detroit R.,1066406006,353171.391
2008,OH,905,8.2,22.7,23,2.1,6.2,NA,0,191,0,112,367,1810,2481,1,Detroit R.,1066406006,353171.391
2013,ON,21,9.1,20.9,23.4,3,7.7,7.1,0,0,0,12,749,1721,2482,1,Detroit R.,1066406006,353171.391
2014,ON,6,7.4,22,22,1.3,10,10.3,0,0,4,22,1058,1463,2546,1,Detroit R.,1066406006,353171.391
2019,ON,11,9.5,23.8,24.4,2.1,8.1,8.2,0,0,0,0,176,2379,2556,1,Detroit R.,1066406006,353171.391
2019,OH,931,10.7,23.9,24.4,2.1,7.7,NA,0,9,0,0,185,2457,2651,1,Detroit R.,1066406006,353171.391
2009,ON,35,7.5,22.9,25.5,2.1,3.6,NA,0,0,0,0,2562,104,2665,1,Detroit R.,1066406006,353171.391
2008,OH,8,8.2,22.8,23,2.2,9.8,NA,0,11,0,27,230,2426,2694,1,Detroit R.,1066406006,353171.391
2018,OH,931,9.5,24,24,1.8,7.9,NA,0,0,0,16,431,2323,2770,1,Detroit R.,1066406006,353171.391
2008,ON,35,7.3,22.9,22.9,3.5,8.1,NA,0,0,2143,0,390,363,2896,1,Detroit R.,1066406006,353171.391
2010,ON,35,7.3,24.8,24.9,1.9,8.4,NA,0,17,0,302,108,2490,2917,1,Detroit R.,1066406006,353171.391
2008,ON,31,10.9,23.5,23.7,2.5,8.5,NA,0,0,108,0,41,2797,2945,1,Detroit R.,1066406006,353171.391
2016,OH,879,6.7,25,27,0.9,7.1,NA,0,9,0,56,104,2803,2972,1,Detroit R.,1066406006,353171.391
2018,OH,896,7.6,23.7,23.8,3.4,8,NA,0,0,0,0,21,2966,2988,1,Detroit R.,1066406006,353171.391
2015,ON,20,8.8,23.4,24.9,2.4,9.1,7.8,0,20,8,131,56,2817,3032,1,Detroit R.,1066406006,353171.391
2015,OH,918,9.2,22,22.5,1.2,8.3,NA,0,76,0,16,138,2807,3037,1,Detroit R.,1066406006,353171.391
2006,OH,918,8.8,23.8,23.8,2.4,8.3,NA,0,0,0,133,350,2663,3146,1,Detroit R.,1066406006,353171.391
2010,ON,20,8.4,24.6,24.6,1.8,8.1,NA,0,12,0,77,246,2908,3242,1,Detroit R.,1066406006,353171.391
2012,ON,21,8.9,23.1,23.3,2.6,8.6,8.3,0,0,173,138,230,2774,3315,1,Detroit R.,1066406006,353171.391
2018,ON,31,11.2,24.5,24.4,1.5,8.5,8.2,0,24,0,0,522,2797,3342,1,Detroit R.,1066406006,353171.391
2018,OH,8,8.5,23.8,23.8,1.8,8.1,NA,0,0,242,23,536,2546,3347,1,Detroit R.,1066406006,353171.391
2015,ON,11,8.9,23,23.1,2.2,9.1,9,0,7,0,52,134,3156,3349,1,Detroit R.,1066406006,353171.391
2017,ON,37,11.1,23.6,24.3,2.5,7.6,7.8,0,0,0,76,450,2824,3350,1,Detroit R.,1066406006,353171.391
2016,OH,8,8.2,24.8,25,1.8,7.8,NA,0,0,0,0,513,2884,3397,1,Detroit R.,1066406006,353171.391
2009,OH,905,8.5,23.8,25,2.1,3.5,NA,0,0,1719,0,143,1559,3421,1,Detroit R.,1066406006,353171.391
2012,ON,6,7.3,22.6,23,2,8.4,8.3,0,4,4,1710,886,907,3510,1,Detroit R.,1066406006,353171.391
2013,OH,896,7.6,21.9,24.1,1.4,7.5,NA,0,9,0,0,182,3373,3564,1,Detroit R.,1066406006,353171.391
2019,OH,879,8.2,23.9,25.3,0.9,6.4,NA,0,0,0,0,89,3525,3614,1,Detroit R.,1066406006,353171.391
2006,ON,6,7.2,23.5,23.6,1.5,7.8,NA,0,0,0,478,2661,510,3649,1,Detroit R.,1066406006,353171.391
2009,OH,898,7,24.5,25.4,2.1,4,NA,0,20,1730,0,83,1961,3793,1,Detroit R.,1066406006,353171.391
2017,ON,21,9.2,23.4,24.1,2.7,7.5,7.6,0,4,0,30,159,3601,3794,1,Detroit R.,1066406006,353171.391
2014,OH,8,8.2,21.6,23.2,1.8,8.4,NA,0,9,0,8,411,3387,3815,1,Detroit R.,1066406006,353171.391
2014,OH,905,8.5,22,22.8,2.7,8.1,NA,0,0,0,0,196,3754,3950,1,Detroit R.,1066406006,353171.391
2010,ON,11,8.6,24.3,24.5,1.8,8,NA,0,8,0,19,3738,392,4156,1,Detroit R.,1066406006,353171.391
2010,ON,31,11.1,24.8,24.8,1.2,8.2,NA,0,30,415,7,226,3568,4247,1,Detroit R.,1066406006,353171.391
2007,OH,911,8.2,22.7,23.5,1.8,5.9,NA,0,27,0,73,300,3855,4255,1,Detroit R.,1066406006,353171.391
